id,created_at,email,user_id,payload
997fe10f-9d2d-4760-a85f-6d8f52d83603,Mon Jan 26 2026 20:34:50 GMT-0400 (Horário Padrão do Amazonas),teste@teste.com,bea6b2b3-00d6-49d4-bca8-07d323d0218d,[object Object]
c31557c1-9126-470c-8c62-39830c700ff3,Tue Jan 27 2026 20:34:51 GMT-0400 (Horário Padrão do Amazonas),mario@teste.com,58655951-e7de-45cd-9ece-1327bae5d962,[object Object]
e46af4a0-a29d-4835-afab-e0fe84184574,Mon Feb 16 2026 10:52:15 GMT-0400 (Horário Padrão do Amazonas),e2e.auth.1771253532847@example.com,a7820bc0-b20f-4c4b-b443-b202e133ff41,[object Object]
5097a4ee-e8ec-44a4-a46e-42a23283e5d0,Mon Feb 16 2026 10:52:16 GMT-0400 (Horário Padrão do Amazonas),e2e.user.1771253535081@example.com,ecfc025e-9487-43e3-9223-a6382d3a925e,[object Object]
36044e5d-707f-44fc-93c8-57d7bba52ba6,Mon Feb 16 2026 10:56:41 GMT-0400 (Horário Padrão do Amazonas),e2e.user+1771253799436@example.com,3e9c4d3a-45dd-48ba-830f-776aa77479cd,[object Object]
67f170a6-48d1-4c52-be6a-138260943667,Mon Feb 16 2026 10:59:22 GMT-0400 (Horário Padrão do Amazonas),e2e.auth.1771253960766@example.com,eeddcc3a-95c1-4cf6-9b54-57f01300a1a9,[object Object]
c8874d2a-8074-485d-b07b-b5cc8e7adb37,Mon Feb 16 2026 10:59:22 GMT-0400 (Horário Padrão do Amazonas),e2e.user.1771253960907@example.com,f69b4827-ee79-4a3b-b944-a756738a70a5,[object Object]
5e44770d-ca5c-434a-a26d-9eca94ee0b1f,Mon Feb 16 2026 11:01:19 GMT-0400 (Horário Padrão do Amazonas),e2e.user+1771254077283@example.com,7a6ef309-8039-4bbf-bb58-e23779744415,[object Object]
125e5dab-0de8-4dd5-8805-605b63f8ea32,Mon Feb 16 2026 11:01:24 GMT-0400 (Horário Padrão do Amazonas),e2e.pending+1771254083121@example.com,38f8517b-99d3-41bd-8d17-6460dcc645f8,[object Object]
1f1ea5be-da98-4557-b223-c0dcb839f38e,Mon Feb 16 2026 11:02:39 GMT-0400 (Horário Padrão do Amazonas),e2e.user+1771254157426@example.com,5f904442-0d2d-4bc3-95d2-126fb69848b6,[object Object]
