id,saram,full_name,rank,role,semester,created_at,updated_at,phone_number,email,active,war_name,sector,metadata
0bb077da-d63a-44c3-9079-c67b49fe8a74,,,,user,1,Mon Feb 16 2026 15:55:57 GMT-0400 (Horário Padrão do Amazonas),Mon Feb 16 2026 15:55:57 GMT-0400 (Horário Padrão do Amazonas),,e2e.user.1771271755639@example.com,true,,,[object Object]
7837ec8c-03ce-4231-8e66-46e0ae414ff9,,,,user,1,Mon Feb 16 2026 15:55:57 GMT-0400 (Horário Padrão do Amazonas),Mon Feb 16 2026 15:55:57 GMT-0400 (Horário Padrão do Amazonas),,e2e.booking.1771271756813@example.com,true,,,[object Object]
342b3eee-bfae-4bb0-8093-7319af6ee626,,,,user,1,Mon Feb 16 2026 15:56:56 GMT-0400 (Horário Padrão do Amazonas),Mon Feb 16 2026 15:56:56 GMT-0400 (Horário Padrão do Amazonas),,e2e.user.1771271815713@example.com,true,,,[object Object]
ec63d385-15ce-4d53-9dde-9824be169ef6,WELLTONUCHOA,welltonuchoa,Soldier,admin,1,Mon Jan 26 2026 14:33:38 GMT-0400 (Horário Padrão do Amazonas),Mon Jan 26 2026 14:33:38 GMT-0400 (Horário Padrão do Amazonas),,welltonuchoa@gmail.com,true,,,[object Object]
2b506f04-a1c5-4793-8323-e078d8a30222,,,,user,1,Mon Feb 16 2026 16:03:18 GMT-0400 (Horário Padrão do Amazonas),Mon Feb 16 2026 16:03:18 GMT-0400 (Horário Padrão do Amazonas),,e2e.booking.1771272198276@example.com,true,,,[object Object]
6e0d252b-a959-4eca-b91e-bc1f097387cf,000000,E2E Admin,Oficial,admin,1,Mon Feb 16 2026 16:13:59 GMT-0400 (Horário Padrão do Amazonas),Mon Feb 16 2026 16:13:59 GMT-0400 (Horário Padrão do Amazonas),,admin_novo@fab.mil.br,true,,,[object Object]
9f43f52b-044f-4c15-beab-4d1e0fd78edc,,,,user,1,Mon Feb 16 2026 16:14:21 GMT-0400 (Horário Padrão do Amazonas),Mon Feb 16 2026 16:14:23 GMT-0400 (Horário Padrão do Amazonas),,e2e.pending+1771272860044@example.com,true,,,[object Object]
bea6b2b3-00d6-49d4-bca8-07d323d0218d,,JOÃO TESTE,Soldado,user,1,Mon Jan 26 2026 20:34:50 GMT-0400 (Horário Padrão do Amazonas),Tue Jan 27 2026 20:11:30 GMT-0400 (Horário Padrão do Amazonas),000000000,teste@teste.com,true,,,[object Object]
58655951-e7de-45cd-9ece-1327bae5d962,,,,user,1,Tue Jan 27 2026 20:34:51 GMT-0400 (Horário Padrão do Amazonas),Tue Jan 27 2026 20:34:52 GMT-0400 (Horário Padrão do Amazonas),,mario@teste.com,true,,,[object Object]
3bfbf52d-9449-43da-a65b-de395eed3f18,,,,user,1,Mon Feb 16 2026 15:48:34 GMT-0400 (Horário Padrão do Amazonas),Wed Mar 04 2026 10:36:04 GMT-0400 (Horário Padrão do Amazonas),,e2e.auth.1771271313004@example.com,true,,,[object Object]
15041ac2-3b97-42f1-8bb1-948f78665c4b,,,,user,1,Mon Feb 16 2026 15:48:34 GMT-0400 (Horário Padrão do Amazonas),Wed Mar 04 2026 10:40:32 GMT-0400 (Horário Padrão do Amazonas),,e2e.user.1771271312999@example.com,false,,,[object Object]
fb795bc3-a6d0-4222-8e6f-6814c1a3dcb7,,,,user,1,Mon Feb 16 2026 15:51:01 GMT-0400 (Horário Padrão do Amazonas),Wed Mar 04 2026 10:42:36 GMT-0400 (Horário Padrão do Amazonas),,e2e.user.1771271460113@example.com,false,,,[object Object]
7095e991-51c1-49da-acbb-18fe3c4b57e6,,,,user,1,Mon Feb 16 2026 15:51:01 GMT-0400 (Horário Padrão do Amazonas),Wed Mar 04 2026 10:45:27 GMT-0400 (Horário Padrão do Amazonas),,e2e.auth.1771271460216@example.com,false,,,[object Object]
af12623c-0049-426b-b5aa-ea0c1faebe78,,,,user,1,Mon Feb 16 2026 15:52:17 GMT-0400 (Horário Padrão do Amazonas),Wed Mar 04 2026 15:36:11 GMT-0400 (Horário Padrão do Amazonas),,e2e.user.1771271536973@example.com,false,,,[object Object]
8bfcfcd8-fc35-4c19-92dc-30bf929da580,,,,user,1,Mon Feb 16 2026 15:53:26 GMT-0400 (Horário Padrão do Amazonas),Wed Mar 04 2026 15:45:53 GMT-0400 (Horário Padrão do Amazonas),,e2e.user.1771271604921@example.com,true,,,[object Object]
b57aea55-e09a-4fb2-9ccb-dcf80276490b,,,,user,1,Mon Feb 16 2026 15:54:42 GMT-0400 (Horário Padrão do Amazonas),Wed Mar 04 2026 15:49:08 GMT-0400 (Horário Padrão do Amazonas),,e2e.user.1771271681354@example.com,true,,,[object Object]
a3c39e60-b4d9-4b2f-9555-85b436ebcf57,2123245,Teste da Silva Teste,3º Sargento,user,1,Thu Feb 19 2026 08:01:53 GMT-0400 (Horário Padrão do Amazonas),Sat Mar 07 2026 07:56:34 GMT-0400 (Horário Padrão do Amazonas),,teste@test.com,true,Silva Teste,Guarita,[object Object]
